Date,Price,Open,High,Low,Vol.,Change %
03/05/2024,14.6175,13.445,15.3125,13.445,,0.0872
02/05/2024,13.445,12.87,13.9475,12.87,,0.0447
30/04/2024,12.87,12.235,13.2125,12.235,,0.0519
29/04/2024,12.235,10.925,12.4875,10.925,,0.1199
26/04/2024,10.925,10.73,11.315,10.5875,,0.0182
25/04/2024,10.73,10.275,11.4575,10.26,,0.0443
24/04/2024,10.275,10.195,11.1325,9.945,,0.0078
23/04/2024,10.195,12.7,12.7,9.8575,,-19.72%
22/04/2024,12.7,13.4575,13.4575,12.6125,,-5.63%
19/04/2024,13.4575,13.04,14.4125,11.915,,0.032
18/04/2024,13.04,12.615,13.3875,12.0275,,0.0337
16/04/2024,12.615,12.4675,12.925,12.34,,0.0118
15/04/2024,12.4675,11.5325,12.7375,11.3075,,0.0811
12/04/2024,11.5325,11.1075,11.605,11.1075,,0.0383
10/04/2024,11.1075,11.355,11.355,10.985,,-2.18%
09/04/2024,11.355,11.61,11.6125,10.6175,,-2.20%
08/04/2024,11.61,11.3375,11.7425,11.1325,,0.024
05/04/2024,11.3375,11.22,11.6825,11.035,,0.0105
04/04/2024,11.22,11.3725,11.8375,10.86,,-1.34%
03/04/2024,11.3725,11.6525,11.8275,11.3125,,-2.40%
02/04/2024,11.6525,12.0825,12.305,11.5975,,-3.56%
01/04/2024,12.0825,12.8325,13.3575,12.005,,-5.84%
28/03/2024,12.8325,12.7025,13.18,12.26,,0.0102
27/03/2024,12.7025,12.82,13.01,12.5325,,-0.92%
26/03/2024,12.82,12.22,13.1025,12.085,,0.0491
22/03/2024,12.22,12.5125,13.0475,11.81,,-2.34%
21/03/2024,12.5125,13.4725,13.4725,12.3425,,-7.13%
20/03/2024,13.4725,14.1125,14.2825,13.085,,-4.53%
19/03/2024,14.1125,13.895,14.445,13.875,,0.0157
18/03/2024,13.895,13.69,14.615,13.69,,0.015
15/03/2024,13.69,13.6225,14.3325,13.59,,0.005
14/03/2024,13.6225,14.4325,14.6825,13.5225,,-5.61%
13/03/2024,14.4325,13.6375,15.005,13.5325,,0.0583
12/03/2024,13.6375,13.995,14.195,13.5775,,-2.55%
11/03/2024,13.995,13.6125,14.5525,13.6125,,0.0281
07/03/2024,13.6125,14.295,14.4325,13.56,,-4.77%
06/03/2024,14.295,14.38,14.71,13.905,,-0.59%
05/03/2024,14.38,14.9225,15.165,14.1775,,-3.64%
04/03/2024,14.9225,14.9925,15.3025,14.8225,,-0.47%
02/03/2024,14.9925,14.865,15.415,13.53,,-1.59%
01/03/2024,15.235,15.5725,15.6425,15,,-2.17%
29/02/2024,15.5725,16.33,16.5525,15.37,,-4.64%
28/02/2024,16.33,15.7275,16.74,15.31,,0.0383
27/02/2024,15.7275,15.6,15.9975,15.53,,0.0082
26/02/2024,15.6,14.9725,15.96,13.7575,,0.0419
23/02/2024,14.9725,15.1975,15.4425,14.84,,-1.48%
22/02/2024,15.1975,15.9275,16.15,15.1325,,-4.58%
21/02/2024,15.9275,16.0725,16.31,15.68,,-0.90%
20/02/2024,16.0725,16.0175,16.36,14.2125,,0.0034
19/02/2024,16.0175,15.2225,16.1175,13.7,,0.0522
16/02/2024,15.2225,15.225,15.5525,14.9025,,-0.02%
15/02/2024,15.225,15.435,15.6625,15.1125,,-1.36%
14/02/2024,15.435,15.8075,16.1975,15.34,,-2.36%
13/02/2024,15.8075,16.0625,16.57,15.7525,,-1.59%
12/02/2024,16.0625,15.4475,16.535,15.4475,,0.0398
09/02/2024,15.4475,15.8275,16.3325,15.265,,-2.40%
08/02/2024,15.8275,15.505,16.0275,15.2425,,0.0208
07/02/2024,15.505,15.785,16.0175,14.74,,-1.77%
06/02/2024,15.785,15.6175,15.9825,15.0875,,0.0107
05/02/2024,15.6175,14.6975,16.05,14.6975,,0.0626
02/02/2024,14.6975,14.455,15.1325,14.025,,0.0168
01/02/2024,14.455,16.0475,16.1075,14.36,,-9.92%
31/01/2024,16.0475,16.1025,16.5325,15.8,,-0.34%
30/01/2024,16.1025,15.68,16.575,14.9875,,0.0269
29/01/2024,15.68,13.865,15.8475,13.795,,0.1309
25/01/2024,13.865,14.375,15.3375,13.36,,-3.55%
24/01/2024,14.375,14.8525,15.6475,14.03,,-3.21%
23/01/2024,14.8525,13.8025,15.405,12.195,,0.0829
20/01/2024,13.715,13.0975,14.2475,13.0975,,-1.17%
19/01/2024,13.8775,14.07,14.1125,13.6775,,-1.37%
18/01/2024,14.07,15.08,15.705,12.98,,-6.70%
17/01/2024,15.08,13.5725,15.23,12.715,,0.1111
16/01/2024,13.5725,13.785,14.0425,12.485,,-1.54%
15/01/2024,13.785,13.1,13.885,11.7875,,0.0523
12/01/2024,13.1,12.7675,13.285,12.42,,0.026
11/01/2024,12.7675,12.97,13.19,12.63,,-1.56%
10/01/2024,12.97,13.2625,14.5575,12.81,,-2.21%
09/01/2024,13.2625,13.4625,13.505,12.775,,-1.49%
08/01/2024,13.4625,12.63,13.595,12.63,,0.0659
05/01/2024,12.63,13.33,13.4675,12.4875,,-5.25%
04/01/2024,13.33,14.0975,14.2075,13.2125,,-5.44%
03/01/2024,14.0975,14.58,14.78,14.0225,,-3.31%
02/01/2024,14.58,14.68,15.08,14.2425,,-0.68%
01/01/2024,14.68,14.5025,14.8675,14.3275,,0.0122
29/12/2023,14.5025,15.14,15.4275,14.3725,,-4.21%
28/12/2023,15.14,15.5575,16.47,14.9625,,-2.68%
27/12/2023,15.5575,14.6775,15.7325,14.47,,0.06
26/12/2023,14.6775,13.7075,14.95,13.7075,,0.0708
22/12/2023,13.7075,13.7575,13.9875,12.225,,-0.36%
21/12/2023,13.7575,14.45,15.01,12.2825,,-4.79%
20/12/2023,14.45,13.8675,14.87,12.7775,,0.042
19/12/2023,13.8675,13.9,14.12,13.5525,,-0.23%
18/12/2023,13.9,13.1275,14.1175,13.125,,0.0588
15/12/2023,13.1275,12.32,13.3425,10.8,,0.0655
14/12/2023,12.32,12.065,12.5125,11,,0.0211
13/12/2023,12.065,12.7125,12.8175,11.54,,-5.09%
12/12/2023,12.7125,12.7575,12.8675,11.6925,,-0.35%
11/12/2023,12.7575,12.47,13.1225,12.2275,,0.0231
08/12/2023,12.47,12.6725,12.875,12.135,,-1.60%
07/12/2023,12.6725,13.74,13.74,12.545,,-7.77%
06/12/2023,13.74,13.4575,14.0875,12.6875,,0.021
05/12/2023,13.4575,12.9925,13.8825,11.475,,0.0358
04/12/2023,12.9925,12.3825,13.16,11.34,,0.0493
01/12/2023,12.3825,12.69,12.755,11.7775,,-2.42%
30/11/2023,12.69,12.7075,13.3525,11.7625,,-0.14%
